machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,B, 7,NA,NA,  485400,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  13.27829009,FALSE
1234567,0,B, 8,NA,NA,  590400,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -5.48645364,FALSE
1234567,0,B, 9,NA,NA,  598500,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,   80,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -6.93401959,FALSE
1234567,0,B,10,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,11,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,12,NA,NA,     250,ValidSlopeSaturation,NA,NA, 2,m,mAb (4F8), 1000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,  99.98034170,FALSE
1234567,0,C, 1,NA,NA,  670900,ValidSlopeSaturation,NA,NA, 2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001, -19.87275717,FALSE
1234567,0,C, 2,NA,NA,  719700,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -28.59389520,FALSE
1234567,0,C, 3,NA,NA,  596300,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -6.54085353,FALSE
1234567,0,C, 4,NA,NA,  532600,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 46,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,   4.84309100,FALSE
1234567,0,C, 5,NA,NA,  560300,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 46,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -0.10722711,FALSE
1234567,0,C, 6,NA,NA,  704000,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -25.78811924,FALSE
1234567,0,C, 7,NA,NA,  605500,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 47,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -8.18500250,FALSE
1234567,0,C, 8,NA,NA,  597000,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,  -6.66595182,FALSE
1234567,0,C, 9,NA,NA,  933600,ValidSlopeSaturation,NA,NA, 2,x,MI/15  Mouse 48,  160,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -66.82035885,FALSE
1234567,0,C,10,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,C,11,NA,NA,NA,ValidSlopeSaturation,NA,NA, 2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,C,12,NA,NA,     190,ValidSlopeSaturation,NA,NA, 2,m,mAb (4F8), 2000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,  99.99106441,FALSE
1234567,0,D, 1,NA,NA,  608400,ValidSlopeSaturation,NA,NA, 2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,  -8.70326685,FALSE
1234567,0,D, 2,NA,NA,  826600,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,  320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -47.69819144,FALSE
1234567,0,D, 3,NA,NA,  719800,ValidSlopeSaturation,NA,NA, 2,x,MI/15 Mouse 45,  320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001, -28.61176639,FALSE
